Salaris_buckets,count,Boodschappen,Toeslagen,Energie & water
1.0,2816,217.9422303561286,-133.90191239504813,58.25766775983744
2.0,859,174.82041009087132,-163.90341510891412,27.95438150402064
3.0,1202,179.1891030818474,-141.00505183939873,26.76460557889891
4.0,1554,173.6644136713923,-92.68149437965013,28.5819005152179
5.0,1504,174.63715375455658,-49.013761317969674,38.91568476834745
6.0,778,191.4980923592671,-52.137523498781924,53.015813208333206
7.0,268,249.67783511691917,-95.1436712192899,76.02002794925673
8.0,169,375.82624752743703,-175.45452533750762,121.93369763058224
9.0,232,466.57128289419603,-245.54122081765067,132.45617684077004
